"행정구역(시군구)별",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"인천광역시",2065866,2138426,2200769,2353073,2391824,2445613,2485199,2509086,2545769,2564598,2577989,2570194,2578817,2600495,2624391,2664576,2692696,2710579,2758296,2801274,2843981,2879782,2902608,2925815,2943069,2948542
"중구",80011,77239,74372,73061,71901,73404,73550,72368,71522,73637,78375,85415,89993,92300,91916,89768,88713,89688,92890,93581,98648,107774,111929,114493,115249,117999
"동구",114937,110397,104186,100125,96005,91168,82277,79764,76057,75788,74747,80966,81243,78128,75699,74087,74866,77308,79663,78692,76720,75093,73978,72571,71014,69487
"남구",508665,559930,611644,428921,426924,423866,418074,418156,420348,425371,432716,433138,430889,420403,416672,412379,420741,419935,423876,417996,414500,411330,408305,404893,417103,419267
"연수구",-,-,-,218414,239787,253270,259862,261202,262319,261038,259254,257564,255998,265658,271010,268780,268668,271497,279230,287903,292589,300305,310703,319052,328627,335142
"남동구",373025,378118,386470,389052,391409,392753,396499,397462,407845,407615,403574,392478,384244,379310,390044,425217,450054,463414,473423,495469,503597,507021,514656,531395,530982,536578
"북구",726637,745047,751735,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"부평구",-,-,-,496851,505885,501503,519839,528339,546520,552093,558310,554027,557144,567347,570283,568905,569246,563920,567493,560936,559047,556985,556992,555844,549716,539941
"계양구",-,-,-,263847,270738,313930,326220,332236,337077,339696,341074,340175,337103,335435,342335,342564,342299,344039,347810,344299,342202,343806,339538,334332,330284,323784
"서구",262591,267695,272362,298724,305710,312839,326386,337579,342973,348450,350121,347117,362269,380916,384431,399430,393346,395508,408068,436134,469887,490035,498686,504606,510733,516017
"강화군",-,-,-,70601,70146,69539,68572,67924,67100,66860,65698,65044,65114,65389,65510,66466,67387,67049,67104,66779,66752,66735,67118,67667,68010,68754
"옹진군",-,-,-,13477,13319,13341,13920,14056,14008,14050,14120,14270,14820,15609,16491,16980,17376,18221,18739,19485,20039,20698,20703,20962,21351,21573
"광주광역시",1223784,1248670,1272515,1285633,1300195,1323863,1339441,1356612,1371909,1383765,1397452,1395762,1401172,1401745,1407798,1413444,1422702,1433640,1454636,1463464,1469216,1472910,1475884,1472199,1469214,1463770
"동구",171722,167096,159231,152586,148863,139142,133077,128038,123647,119182,117225,116486,117733,114480,114086,115066,109963,107772,104449,106495,105580,103016,100786,98784,95791,95448
"서구",461916,464606,458105,232213,227259,241761,248213,267116,287867,300999,312205,313808,315987,311511,309362,307072,304885,299825,303219,317936,316545,315276,310317,305028,309579,306957
"남구",-,-,-,257989,253534,248276,244382,237138,231501,226143,221357,216102,213321,214524,211744,209024,213073,213697,216863,219041,218313,216254,219815,221318,219729,218454
"북구",410016,425353,451223,464700,462335,464445,473148,476833,475992,474409,471364,462384,458030,454241,460985,466181,474121,469410,466866,444483,443677,445489,447685,446316,441066,438780
"광산구",180130,191615,203956,178145,208204,230239,240621,247487,252902,263032,275301,286982,296101,306989,311621,316101,320660,342936,363239,375509,385101,392875,397281,400753,403049,404131
"대전광역시",1134843,1189039,1232823,1265081,1293760,1318212,1341413,1363546,1385606,1403164,1419573,1432296,1443471,1454638,1466158,1475659,1480895,1484180,1503664,1515603,1524583,1532811,1531809,1518775,1514370,1502227
"동구",310615,295265,280729,268014,265211,261568,260749,255215,252684,246824,240487,240212,238532,234724,236504,244496,245973,246116,248835,251285,251945,250653,245493,239579,234959,230516
"중구",292848,277633,272066,264660,261497,258992,259044,258748,267014,268306,265597,268351,265962,266635,263592,265430,264678,264035,265846,265502,264125,264913,261165,256186,252490,248933
"서구",272631,331755,376768,411878,424646,445009,463024,471871,476893,485363,496217,500551,508552,509225,505600,501935,499172,499297,499742,499124,496513,498917,496132,490859,491011,487448
"유성구",69442,87385,104999,119639,136972,144497,150016,153501,157638,171732,187346,193974,203478,220767,243130,250523,259831,266585,281692,294353,306312,313968,327461,335312,343222,348428
"대덕구",189307,197001,198261,200890,205434,208146,208580,224211,231377,230939,229926,229208,226947,223287,217332,213275,211241,208147,207549,205339,205688,204360,201558,196839,192688,186902
"울산광역시",-,-,-,-,-,1009652,1015249,1024336,1040225,1055618,1065037,1072867,1081453,1087648,1092494,1099995,1112407,1114866,1126298,1135494,1147256,1156480,1166377,1173534,1172304,1165132
